Category: All categories

Week,Ariana Grande: (Worldwide),Nicki Minaj: (Worldwide)
2013-12-07,13,14
2013-12-14,12,16
2013-12-21,15,14
2013-12-28,19,14
2014-01-04,12,14
2014-01-11,11,11
2014-01-18,12,11
2014-01-25,15,11
2014-02-01,10,11
2014-02-08,9,17
2014-02-15,10,13
2014-02-22,10,12
2014-03-01,9,13
2014-03-08,9,13
2014-03-15,9,11
2014-03-22,9,10
2014-03-29,11,10
2014-04-05,10,11
2014-04-12,10,13
2014-04-19,10,14
2014-04-26,30,12
2014-05-03,22,12
2014-05-10,20,10
2014-05-17,25,14
2014-05-24,23,12
2014-05-31,23,15
2014-06-07,21,16
2014-06-14,21,12
2014-06-21,26,13
2014-06-28,31,20
2014-07-05,28,14
2014-07-12,27,14
2014-07-19,29,25
2014-07-26,28,29
2014-08-02,28,34
2014-08-09,42,23
2014-08-16,38,61
2014-08-23,66,72
2014-08-30,100,32
2014-09-06,47,32
2014-09-13,42,34
2014-09-20,38,26
2014-09-27,35,27
2014-10-04,31,22
2014-10-11,29,20
2014-10-18,28,20
2014-10-25,26,24
2014-11-01,32,23
2014-11-08,38,32
2014-11-15,32,22
2014-11-22,40,22
2014-11-29,38,22
2014-12-06,38,36
2014-12-13,36,43
2014-12-20,40,36
2014-12-27,40,32
2015-01-03,31,26
2015-01-10,27,24
2015-01-17,25,24
2015-01-24,24,21
2015-01-31,24,22
2015-02-07,31,21
2015-02-14,35,23
2015-02-21,27,18
2015-02-28,25,17
2015-03-07,24,17
2015-03-14,24,18
2015-03-21,28,18
2015-03-28,30,20
2015-04-04,32,20
2015-04-11,26,25
2015-04-18,31,20
2015-04-25,23,16
2015-05-02,21,16
2015-05-09,22,15
2015-05-16,23,27
2015-05-23,22,19
2015-05-30,22,20
2015-06-06,23,19
2015-06-13,20,18
2015-06-20,22,18
2015-06-27,20,24
2015-07-04,46,20
2015-07-11,25,20
2015-07-18,19,32
2015-07-25,18,28
2015-08-01,18,24
2015-08-08,18,24
2015-08-15,19,24
2015-08-22,19,18
2015-08-29,18,56
2015-09-05,17,19
2015-09-12,23,15
2015-09-19,20,15
2015-09-26,16,14
2015-10-03,17,14
2015-10-10,19,16
2015-10-17,17,14
2015-10-24,24,14
2015-10-31,27,14
2015-11-07,21,12
2015-11-14,20,12
2015-11-21,25,16
2015-11-28,19,13
2015-12-05,20,17
2015-12-12,22,15
2015-12-19,25,17
2015-12-26,23,16
2016-01-02,19,13
2016-01-09,17,15
2016-01-16,18,14
2016-01-23,16,12
2016-01-30,15,12
2016-02-06,15,11
2016-02-13,16,11
2016-02-20,14,11
2016-02-27,13,11
2016-03-05,15,10
2016-03-12,36,11
2016-03-19,21,11
2016-03-26,19,11
2016-04-02,17,12
2016-04-09,17,11
2016-04-16,18,10
2016-04-23,20,11
2016-04-30,18,11
2016-05-07,16,10
2016-05-14,22,9
2016-05-21,29,10
2016-05-28,23,9
2016-06-04,19,8
2016-06-11,17,9
2016-06-18,17,10
2016-06-25,18,10
2016-07-02,15,10
2016-07-09,15,9
2016-07-16,15,9
2016-07-23,18,9
2016-07-30,17,9
2016-08-06,15,8
2016-08-13,14,8
2016-08-20,16,8
2016-08-27,25,14
2016-09-03,21,12
2016-09-10,20,12
