Month|Views of page Ajapsandali|Views of page Ajvar|Views of page Alinazik kebab|Views of page Baba ghanoush|Views of page Badrijani|Views of page Baghara baingan|Views of page Baingan bharta|Views of page Beguni|Views of page Caponata|Views of page Confit byaldi|Views of page Dahi baigana|Views of page Di san xian|Views of page Eggplant papucaki|Views of page Eggplant salads and appetizers|Views of page Escalivada|Views of page Fried eggplant|Views of page Israeli eggplant salad|Views of page Kashk e badamjan|Views of page Kyopolou|Views of page List of eggplant dishes|Views of page Malidzano|Views of page Mirza Ghassemi|Views of page Moussaka|Views of page Parmigiana|Views of page Pasta alla Norma|Views of page Pindjur|Views of page Pisto|Views of page Ratatouille|Views of page Rollatini|Views of page Stuffed eggplant|Views of page Tepsi Baytinijan|Views of page Tombet|Views of page Zaalouk|Total|Percentage
201208|347|6513|845|33854|3|433|132|525|11938|4911|279|0|0|2114|1225|183|0|0|505|0|309|0|28955|12009|1157|145|1741|52654|1491|16|252|482|64|163082|1.4
201207|298|5718|814|36326|0|510|94|545|10327|4076|319|0|0|2001|1118|207|0|0|453|0|290|0|24485|10750|1106|99|1864|44242|1403|0|232|460|75|147812|1.2
201206|334|5136|694|37167|2|399|133|369|8918|4398|281|0|0|1649|1084|150|0|0|387|0|228|1|23975|10075|998|109|2021|50653|1484|1|192|372|84|151294|1.3
201205|334|5471|743|34852|2|389|116|422|8350|3377|325|0|0|1495|1256|156|0|0|392|0|300|0|24961|10605|847|149|1815|38637|1407|0|224|431|101|137157|1.2
201204|300|4366|722|51418|0|345|118|400|6324|3563|300|0|0|1302|941|137|0|0|378|0|187|0|19226|8819|723|87|1417|31565|1126|0|178|389|104|134435|1.1
201203|327|4867|838|28624|1|336|122|433|6664|3765|292|0|0|1389|1021|190|0|0|417|0|267|0|21262|10974|857|120|1568|35150|1358|0|207|400|122|121571|1
201202|253|4897|756|32438|0|330|103|458|7370|3375|262|0|0|1398|982|161|0|0|353|0|223|0|24241|10980|612|82|1589|34137|1552|2|208|309|111|127182|1.1
201201|348|5387|781|40530|2|327|122|459|9198|4222|278|0|0|1610|869|182|0|0|411|0|240|0|25976|11385|701|86|1611|40515|1619|0|195|372|106|147532|1.2
201112|254|4417|596|31270|0|304|109|353|6300|3863|247|0|0|1491|835|194|0|0|342|0|210|0|17900|8762|548|111|1275|35259|1238|0|217|296|78|116469|1
201111|241|5174|673|28037|2|317|111|403|7053|4328|350|0|0|1795|886|179|0|0|412|0|376|0|25256|11029|747|101|1634|39633|1353|1|222|435|98|130846|1.1
201110|236|5891|483|29112|0|280|87|359|6949|3326|249|0|0|1571|881|208|0|0|407|0|304|0|22506|10027|663|111|1438|33274|1221|0|183|139|82|119987|1
201109|226|6191|444|25637|2|234|119|243|6133|3107|196|0|0|1457|766|168|0|0|385|0|225|0|19023|8460|491|105|1239|30684|982|0|157|116|94|106884|0.9
201108|286|5087|755|31829|0|267|105|631|7888|4704|254|0|0|1909|882|229|1|0|482|0|246|1|20622|10448|594|117|1601|39829|1373|0|228|143|99|130610|1.1
201107|301|4694|528|29565|0|264|84|333|7394|5139|248|0|0|1859|971|234|0|0|463|0|237|1|19673|9777|591|126|1504|48800|1278|0|184|152|105|134505|1.1
