Month|Views of page Adele|Views of page Ariana Grande|Views of page Avicii|Views of page Bruno Mars|Views of page Carly Rae Jepsen|Views of page Christina Perri|Views of page Demi Lovato|Views of page Drake (rapper)|Views of page Ed Sheeran|Views of page Ellie Goulding|Views of page Eminem|Views of page Jennifer Lopez|Views of page Justin Bieber|Views of page Katy Perry|Views of page Ludacris|Views of page Meghan Trainor|Views of page Michael Jackson|Views of page Miley Cyrus|Views of page Nicki Minaj|Views of page Pitbull (rapper)|Views of page Psy|Views of page Rihanna|Views of page Romeo Santos|Views of page Selena Gomez|Views of page Shakira|Views of page Sia (musician)|Views of page Taylor Swift|Views of page Wiz Khalifa|Views of page Zayn Malik|Views of page Zendaya|Total|Percentage
201306|264188|611714|136374|541596|144811|50523|486866|2493|321744|213010|707354|355875|611710|325330|181803|0|739246|687914|406927|108719|234693|516868|17232|727215|340783|0|586090|222148|44660|117971|9705857|1.1
201305|332656|552293|127611|494968|207225|60058|634011|1940|231506|277789|822858|475659|723804|347708|235543|0|597100|449328|611331|32257|373649|574672|21797|722108|306021|1|646394|173972|56967|279777|10371003|1.2
201304|394504|497047|133553|530280|199612|61782|501601|2433|250924|288357|792313|309901|735511|359400|123425|1|645054|469095|755485|19078|274298|616000|25051|683970|254395|0|683320|224090|35097|320539|10186116|1.2
201303|530850|345457|176844|723433|257855|82999|481803|2475|392128|269520|904000|375704|1012125|429868|128458|1|700607|545233|1233109|17892|57029|784613|25201|873248|598159|2|815066|259764|26070|412814|12462327|1.4
201302|188056|208184|130318|929540|289132|77845|356036|1856|446827|264642|852445|406125|917784|518248|149358|1|710969|525189|1187137|20285|68088|962143|22834|571069|376771|4|928313|391525|25558|121039|11647321|1.3
201301|57849|383644|138363|602302|326079|85162|390219|1587|424803|305494|908380|500790|1145560|538306|147899|3|685527|576523|1539091|33384|453934|805428|21679|676833|519308|2|1055742|423679|39213|114404|12901187|1.5
201212|54518|258360|120551|1066691|448922|105816|528313|1810|428663|303562|864706|407891|1037558|450423|156963|1|623728|537133|813209|24103|241183|903263|21285|571228|319389|1|1083219|581510|33681|122989|12110669|1.4
201211|59877|238754|105890|493890|575004|110276|612985|2009|422640|322010|802551|413256|1227122|485071|161380|2|646545|634890|1096948|24627|120026|1109078|20393|731312|306342|4|1009213|444807|39085|106130|12322117|1.4
201210|73891|251426|118642|654304|498009|67730|752487|2584|359780|459970|1030376|466173|1094581|542205|133845|0|657761|586153|971754|16502|161987|766313|18444|607933|364250|0|1245781|503212|35849|97175|12539117|1.4
201209|44376|275025|148291|196564|793447|74723|1338920|2670|313284|319259|833028|453788|929380|587918|153299|2|600697|589635|982111|18969|241714|753012|19872|639273|439990|0|813934|469590|34449|133074|12200294|1.4
